IDE;programa;IDG;corte1;corte2;prom;fallas;fallaP;curso;creditos;IDP;nestud;periodo;a–o;jornada;profesor;dedicacion;nsala;sala;horaExamen;inicio;final;nota;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
1500;Ingenier’a Mec‡nica;G5;1;1;1;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;15;Centro de Computo Sala 6;9:00 a.m.;;;;;;;;;;;;;
1620;Ingenier’a Ambiental;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;10:04:00;0,5;0,5;0;0;0;0;0;0;0;0;0
1675;Ingenier’a De Sistemas;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;17;Centro de Computo Sala 8;9:00 a.m.;09:16:00;10:24:00;0;0;0;0;0;0;0;0;0;0;0
1702;Ingenier’a Ambiental;G5;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;12;Centro de Computo Sala 3;9:00 a.m.;09:25:00;10:07:00;2;0;0;0;0,5;0;0,5;0;0,5;0,5;0
1706;Ingenier’a De Sistemas;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;14;Centro de Computo Sala 5;9:00 a.m.;09:05:00;10:23:00;3,5;0,5;0,5;0;0,5;0,5;0,5;0;0;0,5;0,5
1716;Ingenier’a Electr—nica;G5;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;18;Centro de Computo Sala 9;9:00 a.m.;09:09:00;10:14:00;3;0,5;0;0;0;0,5;0,5;0,5;0,5;0,5;0
1763;Ingenier’a Electr—nica;G5;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;19;Torre P Sal—n 201;9:00 a.m.;09:19:00;10:18:00;0,5;0,5;0;0;0;0;0;0;0;0;0
1768;Ingenier’a Industrial;G5;4;1;2,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;13;Centro de Computo Sala 4;9:00 a.m.;09:30:00;10:03:00;0,5;0;0;0;0;0;0;0;0;0,5;0
1777;Ingenier’a Ambiental;G5;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;18;Centro de Computo Sala 9;9:00 a.m.;09:10:00;09:50:00;2,5;0,5;0,5;0,5;0;0;0,5;0;0,5;0;0
1797;Ingenier’a De Sistemas;G5;4,5;5;4,75;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;15;Centro de Computo Sala 6;9:00 a.m.;09:15:00;10:04:00;3;0;0,5;0;0,5;0;0,5;0;0,5;0,5;0,5
1819;Ingenier’a Mec‡nica;G5;5;4,5;4,75;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;16;Centro de Computo Sala 7;9:00 a.m.;09:05:00;10:10:00;3;0,5;0,5;0;0,5;0;0,5;0,5;0,5;0;0
1892;Ingenier’a Ambiental;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;16;Centro de Computo Sala 7;9:00 a.m.;09:10:00;09:55:00;1,5;0;0;0,5;0;0,5;0;0;0;0,5;0
1923;Ingenier’a Ambiental;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;20;Torre P Sal—n 303;9:00 a.m.;09:08:00;10:02:00;1;0;0;0;0;0;0,5;0;0;0,5;0
1934;Ingenier’a Industrial;G5;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;14;Centro de Computo Sala 5;9:00 a.m.;09:14:00;10:32:00;1,5;0,5;0,5;0;0;0;0;0;0;0,5;0
1991;Ingenier’a Electr—nica;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;20;Torre P Sal—n 303;9:00 a.m.;09:18:00;10:18:00;3,5;0,5;0;0,5;0;0,5;0,5;0,5;0,5;0,5;0
2000;Ingenier’a Ambiental;G5;2;1;1,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;19;Torre P Sal—n 201;9:00 a.m.;;;;;;;;;;;;;
2004;Ingenier’a Electr—nica;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;09:29:00;0;0;0;0;0;0;0;0;0;0;0
2017;Ingenier’a Ambiental;G5;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;13;Centro de Computo Sala 4;9:00 a.m.;09:14:00;10:16:00;1;0;0;0;0;0;0;0,5;0;0,5;0
2053;Ingenier’a Ambiental;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;17;Centro de Computo Sala 8;9:00 a.m.;09:10:00;09:50:00;2;0,5;0;0,5;0,5;0;0;0;0;0;0,5
2066;Ingenier’a De Sistemas;G5;4;3;3,5;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;16;Centro de Computo Sala 7;9:00 a.m.;09:08:00;09:53:00;1,5;0;0;0,5;0;0;0;0,5;0;0,5;0
2069;Ingenier’a Electr—nica;G5;4;2,5;3,25;0;0;Algoritmos y programaci—n;3;210;21;2;2017;d’a;Agamen—n;C‡tedra;12;Centro de Computo Sala 3;9:00 a.m.;09:23:00;10:12:00;2,5;0,5;0;0,5;0;0;0,5;0;0,5;0;0,5
1501;Ingenier’a Ambiental;G12;0;0;0;12;70,59;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;10;Centro de Computo Sala 14;9:00 a.m.;;;;;;;;;;;;;
1630;Ingenier’a Electr—nica;G12;0;0;0;4;23,53;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;10;Centro de Computo Sala 14;9:00 a.m.;;;;;;;;;;;;;
1669;Ingenier’a De Sistemas;G12;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;1;Casa Kra 4ta Sal—n  101;9:00 a.m.;09:26:00;10:39:00;2,5;0,5;0;0;0,5;0;0,5;0;0,5;0,5;0
1677;Ingenier’a Electr—nica;G12;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;5;Dise–o Y Simulaci—n Sala II;9:00 a.m.;09:12:00;10:28:00;2,5;0,5;0,5;0;0,5;0,5;0,5;0;0;0;0
1681;Ingenier’a Electr—nica;G12;3,5;3;3,25;2;11,76;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;6;Centro de Computo Sala 10;9:00 a.m.;09:12:00;10:29:00;0;0;0;0;0;0;0;0;0;0;0
1681;Ingenier’a Electr—nica;G12;3,5;3;3,25;2;11,76;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;6;Centro de Computo Sala 10;9:00 a.m.;18:17:00;19:45:00;2,5;0;0;0;0,5;0,5;0;0,5;0;0,5;0,5
